0,1
23569,643
2364Q,154
2365T,660
23685,804
2457T,189
2638T,17
27965,322
28TAK,41
29K7T,572
2T987,391
2Q374,874
2Q7K6,806
324K5,596
34KQA,162
3684Q,95
374A9,117
38Q2K,586
38A27,303
39257,107
392QT,387
3QT25,470
3QK56,69
3K978,741
3KAQ7,668
3A579,38
42Q35,712
43QK5,36
43K89,927
46A75,22
49Q8A,376
4K2T5,170
4K3T9,878
4A72T,528
4AK69,473
528TQ,153
538Q4,261
54AQ3,761
56A3K,371
579Q4,822
587A6,587
5893T,841
59Q2K,661
59A47,502
5Q397,381
5QKA9,119
628QT,787
6349T,111
63QT9,11
64295,707
65732,67
65783,510
69KQT,6
6T72Q,84
6A27K,403
6A952,45
74T6A,744
75A34,160
769K3,59
76K24,759
76AT5,616
79863,329
7T64Q,651
7T824,442
7T93K,723
7K58Q,505
7A92K,466
827K6,552
837QT,332
852T3,12
859A7,715
86593,636
89KT2,251
8T954,579
8TQA2,151
8AT4Q,356
94673,646
9472K,849
95432,420
97T63,290
9875Q,876
98TK4,907
9T5A4,738
9QT2K,390
9QA53,597
T237A,220
T2AQK,256
T3KA9,296
T6287,810
T7653,704
T78K4,360
T8A32,891
TQ683,830
TQA65,325
TK6QA,706
TA4Q7,945
TA538,161
Q3T94,678
Q5A2K,280
Q684T,820
Q723K,657
Q748K,469
Q8743,894
Q9732,780
Q9T28,499
QTK76,114
QA342,378
QAT85,638
K29T3,570
K3795,875
K42Q8,184
K5498,175
K54QT,471
K78T6,235
K79Q2,460
K8374,680
KTAQ4,734
KQ39T,355
KAT73,380
A3T76,71
A5Q7K,775
A6K37,444
A8265,640
A8573,786
A924K,555
A9325,848
A9TK7,710
A9K82,120
AT5K9,138
ATK29,672
AQ793,975
AQK48,369
AK42Q,990
J2A34,535
J37QA,670
J463A,363
J57Q2,686
J7T2Q,293
J7K23,149
JK954,778
JK9A2,365
JA536,1000
2J9Q4,934
22953,141
23QJ9,397
24K33,50
25889,685
26648,950
26869,885
26K72,991
27656,797
2T68J,919
2AJT7,631
2AJQ4,856
2A5J6,270
2ATKT,765
32466,306
32QTQ,379
34584,776
348Q8,196
36A2J,374
37QTT,252
37A6A,615
38TKK,988
39965,452
39Q7Q,126
3T3K9,718
3AJ82,260
42A74,305
43AJ9,573
44K8A,745
4547A,49
4558Q,268
49269,937
496Q4,674
4T686,18
4A77Q,871
52QAQ,811
542T5,52
54QKQ,726
54A7J,773
553A4,459
5593K,743
55T9A,683
56674,627
573K5,897
574K7,884
576J4,826
57A9J,512
5T598,858
5Q895,976
5A465,411
6J387,243
62Q69,474
62A25,206
6346T,798
63A3T,121
64T47,603
65277,703
652KK,478
6557Q,753
65877,805
65AA8,13
68A7J,695
69562,814
6T9J5,86
6Q2A6,35
6Q3T3,358
6KATK,768
6AKA5,536
7242T,558
72889,264
743JT,216
759T5,844
766K8,60
76KK3,606
78A8K,166
79TK9,142
7Q434,481
7Q749,716
7Q8JT,396
7Q922,53
7K663,291
7A4KJ,430
82729,687
82T92,749
834JQ,962
83T63,349
85T6T,834
862Q8,546
867JQ,30
8765J,792
88352,694
89926,388
8QJ72,750
8Q7T7,238
8Q87T,327
8K9T9,198
8AJ53,88
8A863,915
92947,908
92K4J,887
94Q3Q,173
95567,364
95Q49,292
9626T,515
969Q2,621
97662,633
97K7Q,262
984JK,748
9844Q,493
98685,599
9Q8Q5,959
9AJ25,889
9A2T2,334
9A868,735
9ATQA,219
TJ428,498
T3A2A,981
T4427,675
T49T7,400
T4TKA,758
T59KT,34
T5T89,99
T638T,265
T657T,74
T69J7,297
T6A9A,932
T7627,879
T78QQ,76
T7973,309
T7AKA,628
T8J23,783
T86JA,736
T893T,653
TT26A,665
TQJ26,462
TKJ59,608
TK443,181
TKQAQ,618
TA5JK,530
TAT37,70
QJ85K,777
QJK78,917
Q32KQ,517
Q6J98,815
Q8AJ3,308
Q8A7A,763
Q8AAK,946
Q939A,80
QT29J,450
QT86T,287
QTKJA,315
QQ529,190
QKJA4,276
QK57Q,868
QA688,62
QA977,531
KJ56A,978
